Straßennummer,Straßenname,Ortsbezirk,Stadtteil Name,Stadtbezirk,Stadtbezirksvorst,Schiedsleutebezirk,Sozialrathaus Name,Polizeirevier,Postleitzahl,Address,Latitude,Longitude,class,type
31,Allerheiligentor,1,Innenstadt,70,1.01,1,Ost,1.0,60311,Allerheiligentor 60311 Frankfurt,50.1131852,8.6932046,highway,way
32,Allesinastraße,6,Sindlingen,601,6.47,6B,Höchst,17.0,65931,Allesinastraße 65931 Frankfurt,50.0783735,8.5159303,highway,way
33,Allmeygang,6,Höchst,580,6.45,6C,Höchst,17.0,65929,Allmeygang 65929 Frankfurt,50.099131,8.5480211,highway,way
3295,Alois-Brisbois-Weg,6,Höchst,570,6.44,6C,Höchst,17.0,65929,Alois-Brisbois-Weg 65929 Frankfurt,50.1137347,8.5514776,highway,way
3048,Alois-Eckert-Straße,5,Niederrad,372,5.36,5B,Sachsenhausen,10.0,60528,Alois-Eckert-Straße 60528 Frankfurt,50.078599,8.6430825,highway,way
34,Alpenroder Straße,6,Sossenheim,631,6.53,6C,Höchst,17.0,65936,Alpenroder Straße 65936 Frankfurt,50.1225508,8.5619394,highway,way
35,Alsfelder Straße,11,Seckbach,390,11.75,11,Ost,6.0,60389,Alsfelder Straße 60389 Frankfurt,50.1464027,8.7257586,highway,way
2835,Alt-Bergen,16,Bergen-Enkheim,680,16.83,16,Ost,18.0,60388,Alt-Bergen 60388 Frankfurt,50.1550003,8.7545669,highway,way
36,Alt-Bonames,10,Bonames,491,10.7,10,Nord,14.0,60437,Alt-Bonames 60437 Frankfurt,50.1812811,8.6643351,highway,way
37,Alt-Bornheim,4,Bornheim,272,4.22,4,Ost,6.0,60385,Alt-Bornheim 60385 Frankfurt,50.128628,8.7111922,highway,way
2836,Alt-Enkheim,16,Bergen-Enkheim,680,16.83,16,Ost,18.0,60388,Alt-Enkheim 60388 Frankfurt,50.1495645,8.7534999,highway,way
2637,Alt-Erlenbach,13,Nieder-Erlenbach,640,13.8,13,Nord,14.0,60437,Alt-Erlenbach 60437 Frankfurt,50.2065148,8.7063542,highway,way
53,Alt-Eschersheim,9,Eschersheim,452,9.66,9,Dornbusch,12.0,60433,Alt-Eschersheim 60433 Frankfurt,50.162416,8.6567631,highway,way
58,Alt-Fechenheim,11,Fechenheim,510,11.77,11,Ost,18.0,60386,Alt-Fechenheim 60386 Frankfurt,50.1322585,8.7672372,highway,way
59,Alt-Ginnheim,9,Ginnheim,441,9.67,9,Nord,12.0,60431,Alt-Ginnheim 60431 Frankfurt,50.1445136,8.6488041,highway,way
60,Alt-Griesheim,6,Griesheim,541,6.39,6A,Gallus,16.0,65933,Alt-Griesheim 65933 Frankfurt,50.0910446,8.602779,highway,way
2706,Alt-Harheim,14,Harheim,660,14.81,14,Nord,14.0,60437,Alt-Harheim 60437 Frankfurt,50.1825147,8.6929832,highway,way
61,Alt-Hausen,7,Hausen,410,7.58,7,Bockenheim,11.0,60488,Alt-Hausen 60488 Frankfurt,50.1335355,8.6254481,highway,way
62,Alt-Heddernheim,8,Heddernheim,431,8.61,8,Nord,14.0,60439,Alt-Heddernheim 60439 Frankfurt,50.1560099,8.6474161,highway,way
64,Alt-Höchst,6,Höchst,591,6.46,6C,Höchst,17.0,65929,Alt-Höchst 65929 Frankfurt,50.099587,8.5474746,highway,way
